;adr;price;rooms;area;floor;items
0;г. Минск, ул. Платонова, д.21 (Советский район);112 266 BYN;1-комн.;35.44 м2;5/9 этаж;5/9 панельный, площадь 35,44/17,13/7,24, лоджия застекленная, год постройки 1983, Стеклопакеты, домофон, зеленая зона. Однокомнатная квартира в центре города
1;г. Минск, ул. Макаенка (Первомайский район);282 773 BYN;2-комн.;73.6 м2;15/25 этаж;15/25 каркасно-блочный, площадь 73,60/62,40/—, лоджия застекленная, год постройки 2017, Стеклопакеты, счетчики воды, центр города, свободная планировка, новостройка. Квартира в доме Vogue 5а (ул.Макаенка, 12а), метро рядом, парк `Челюскинцев`, 2017 г.п., без отделки, свободной планировки, окна на обе стороны, собственник- ЗАО `Инсервисстрой`, оплата в бел.руб по курсу НБРБ.
2;г. Минск, просп. Дзержинского, д.23 (Московский район);271 933 BYN;3-комн.;99.1 м2;3/13 этаж;3/13 каркасно-блочный, площадь 99,10/53,10/13,40, 2 лоджии застекленные, год постройки 2013, Стеклопакеты.
3;г. Минск, ул. Николы Теслы, д.4 (Октябрьский район);244 490 BYN;3-комн.;65 м2;6/18 этаж;3-х комнатная квартира в ЖК «Минск-Мир» Две отдельные спальни расположены далеко друг от друга, между ними большая кухня-гостиная.
4;г. Минск, ул. Щорса 2-я, д.1 (Московский район);167 152 BYN;1-комн.;35 м2;3/3 этаж;3/3 кирпичный, площадь 35/16/4,60, балкон, год постройки 1959, Новый ремонт, благоустроенный двор. Детская площадка, зеленая зона, стоянка, ст. м. Грушевка 5 минут пешком. Ключи в день сделки. Интернет.
5;г. Минск, ул. Кижеватова, д.1 (Октябрьский район);92 283 BYN;1-комн.;27.8 м2;15/16 этаж;15/16 каркасно-блочный, площадь 27,80/21/3, лоджия застекленная, год постройки 2021, Стеклопакеты, счетчики воды, домофон, видео-домофон, с оформлением, центр города, зеленая зона, свободная планировка, новостройка.
6;г. Минск, ул. Тимошенко, д.28 (Фрунзенский район);219 293 BYN;3-комн.;65.8 м2;8/9 этаж;8/9 панельный, площадь 65,80/39,70/8,60, лоджия застекленная, телефон: есть, год постройки 2003
7;г. Минск, ул. Глаголева, д.31 (Московский район);187 085 BYN;2-комн.;46.8 м2;8/13 этаж;8/13 монолитный, площадь 46,80/15/22, лоджия застекленная, телефон: есть, год постройки 2022, Счетчики воды. ЖК «Смарт» - 2х комнатная квартира свободной планировки, просторная, светлая квартира, с ремонтом, 3 окна ( площадь по СНБ 46.8 кв.м., общая 43.4 кв.м.) :+ застекленная лоджия, выводы под кондиционер+ потолки 2,7м, окна 1,75м+ домофонная система, ниши для кондиционеров на фасаде дома, интернет.Дом:+ современные, просторные подъезды с зоной хранения колясок и зоной отдыха,+ закрытая дворовая территория с детскими и спортивными площадками, сделан максимально удобно, безопасно и экологично+ подземный паркинг (возможно купить или арендовать)Транспортная доступность – одно из главных преимуществ расположения дома:+ пересечение проспекта Жукова и Дзержинского, в кротчайшие сроки удобно добраться до любой точки города, как на автомобиле, так и на общественном транспорте,+ 8 минут пешком до ст. метро Михалово, 12 минут пешком до ст. метро Грушевка.АН «Твой Маентак» это – индивидуальный подход к каждому клиенту. Поможем выгодно продать Вашу недвижимость для покупки новой.
8;г. Минск, ул. Харьковская, д.58 (Фрунзенский район);237 004 BYN;2-комн.;72.5 м2;6/10 этаж;Продается современная с отличной планировкой 3-х комнатная квартира. В отделке использованы импортные материалы. Полы- бельгийский ламинат на сосновой подложке, стена в гостиной выполнена из декорированной фасадной плитки, перегородка - стальная, на окнах римские шторы. На кухне полы- плитка, на потолке отделка из сосны, мойка керамо-гранитная фильтр система 5-ти ступенчатой очистки. Светлая просторная детская. Гардеробная, два санузла. Общий коридор на 2-ве квартиры используется как прихожая.
9;г. Минск, ул. Игоря Лученка, д.7 (Октябрьский район);184 116 BYN;3-комн.;62.4 м2;11/16 этаж;"Шикарная 3-комн. кв-ра 62 м2 по ул. Лученка, 7, дом Калининград, квартал Евразия. Центр ""Минск Мир"". 11/16. Квартира - Евро3шка свободной планировки, очень солнечная, с шикарным видом из окон на юго-восток, на ТЦ, МФЦ, ""Волну"", на квартал Центральная Европа и на Парк. Отличное расположение дома в комплексе! Рядом новая школа № 226 и д/с, строящаяся новая ст.м. ""Аэродромная"", старый аэропорт и второе транспортное кольцо. Быстрая сделка. Звоните! Приходите! Мечты должны сбываться!"
